Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT00434","CA1","None","carbonic anhydrase 1","Carbonic Anhydrase 1","ENSG00000133742","P00915","0.0181473","0.311202","1.0","By_herb","0.2311"
"SMTT00471","CAPN5","11","Calpain 5","None","ENSG00000149260","None","0.0439171","0.330247","1.0","By_herb","0.1359"
"SMTT02057","MCAT","None","malonyl-CoA-acyl carrier protein transacylase","Malonyl-CoA-acyl Carrier Protein Transacylase, Mitochondrial","ENSG00000100294","Q8IVS2","0.0439171","0.330247","1.0","By_herb","0.1274"
"SMTT02319","NHLRC1","6","NHL Repeat Containing E3 Ubiquitin Protein Ligase 1","None","ENSG00000187566","None","0.0177643","0.311202","1.0","By_herb","0.1615"
"SMTT02466","PANK2","20","Pantothenate Kinase 2","None","ENSG00000125779","None","0.0265473","0.311202","1.0","By_herb","0.1712"
"SMTT02676","POU3F4","X","POU Class 3 Homeobox 4","None","ENSG00000196767","None","0.0177643","0.311202","1.0","By_herb","0.181"
"SMTT03266","SOX2","3","SRY-box 2","None","ENSG00000181449","None","0.0117273","0.311202","1.0","By_herb","0.2975"
"SMTT04453","ADGB","None","androglobin","None","ENSG00000118492","None","0.0439171","0.330247","1.0","By_herb","0.1364"
"SMTT04880","ATOH8","None","atonal bHLH transcription factor 8","None","ENSG00000168874","None","0.0177643","0.311202","1.0","By_herb","0.1553"
"SMTT05215","CAPN12","None","calpain 12","None","ENSG00000182472","None","0.0439171","0.330247","1.0","By_herb","0.1301"
"SMTT05217","CAPN14","None","calpain 14","None","ENSG00000214711","None","0.0439171","0.330247","1.0","By_herb","0.147"
"SMTT05219","CAPN6","None","calpain 6","None","ENSG00000077274","None","0.0439171","0.330247","1.0","By_herb","0.1416"
"SMTT05752","CREB","None","None","None","None","None","0.0352648","0.316351","1.0","By_herb","0.2069"
"SMTT06701","FUT7","None","fucosyltransferase 7","None","ENSG00000180549","None","0.0439171","0.330247","1.0","By_herb","0.143"
"SMTT07617","KCNN2","None","potassium calcium-activated channel subfamily N member 2","None","ENSG00000080709","None","0.0439171","0.330247","1.0","By_herb","0.3082"
"SMTT07618","KCNN3","None","potassium calcium-activated channel subfamily N member 3","None","ENSG00000143603","None","0.0352648","0.316351","1.0","By_herb","0.3446"
"SMTT07778","KRTAP10-3","None","keratin associated protein 10-3","None","ENSG00000212935","None","0.0177643","0.311202","1.0","By_herb","0.1686"
"SMTT08722","NREP","None","neuronal regeneration related protein","None","ENSG00000134986","None","0.0439171","0.330247","1.0","By_herb","0.1491"
"SMTT08877","OXR1","None","oxidation resistance 1","None","ENSG00000164830","None","0.0352648","0.316351","1.0","By_herb","0.131"
"SMTT08918","PANK4","None","pantothenate kinase 4","None","ENSG00000157881","None","0.0177643","0.311202","1.0","By_herb","0.1498"
"SMTT09356","POU5F1P3","None","POU class 5 homeobox 1 pseudogene 3","None","ENSG00000235602","None","0.0439171","0.330247","1.0","By_herb","0.1468"
"SMTT09357","POU5F1P4","None","POU class 5 homeobox 1 pseudogene 4","None","ENSG00000237872","None","0.0439171","0.330247","1.0","By_herb","0.1242"
"SMTT09628","PTPRCAP","None","protein tyrosine phosphatase, receptor type C associated protein","None","ENSG00000213402","None","0.0352648","0.316351","1.0","By_herb","0.1507"
"SMTT11256","TMEM18","None","transmembrane protein 18","None","ENSG00000151353","None","0.0177643","0.311202","1.0","By_herb","0.1626"
"SMTT11447","TRIM5","None","tripartite motif containing 5","None","ENSG00000132256","None","0.0439171","0.330247","1.0","By_herb","0.1576"
"SMTT11789","VNN2","None","vanin 2","None","ENSG00000112303","None","0.0439171","0.330247","1.0","By_herb","0.1541"
