Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","204.142791748047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","67","GC10P045251","191.712646484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","66","GC07M140783","159.612701416016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","148.120910644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"TG","Thyroglobulin","Protein Coding","P01266","57","GC08P132866","143.505737304688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108223","137.221633911133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"THRB","Thyroid Hormone Receptor Beta","Protein Coding","P10828","61","GC03M024117","136.36848449707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRB"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P116113","135.551635742188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","131.894622802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","65","GC03P179148","131.417129516602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"NKX2-1","NK2 Homeobox 1","Protein Coding","P43699","61","GC14M036516","128.967620849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","128.503952026367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M013218","126.922172546387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M033285","126.866760253906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"TSHR","Thyroid Stimulating Hormone Receptor","Protein Coding","P16473","61","GC14P080954","123.431076049805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHR"
"MSH2","MutS Homolog 2","Protein Coding","P43246","61","GC02P047403","122.848564147949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"TPO","Thyroid Peroxidase","Protein Coding","P07202","61","GC02P001374","122.527923583984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPO"
"MLH1","MutL Homolog 1","Protein Coding","P40692","62","GC03P036993","120.039558410645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"PAX8","Paired Box 8","Protein Coding","Q06710","58","GC02M113215","115.133483886719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","108.335357666016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","108.155601501465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","107.414916992188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","62","GC07M005973","107.307281494141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","105.858459472656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","105.668487548828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","56","GC16M023603","101.653900146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","62","GC05P112707","99.295654296875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"CDH1","Cadherin 1","Protein Coding","P12830","62","GC16P068737","95.3499755859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","95.3140563964844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","94.799560546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","88.4612884521484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"SLC5A5","Solute Carrier Family 5 Member 5","Protein Coding","Q92911","58","GC19P132609","88.4242172241211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A5"
"BRIP1","BRCA1 Interacting Helicase 1","Protein Coding","Q9BX63","62","GC17M061679","87.3941879272461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"FOXE1","Forkhead Box E1","Protein Coding","O00358","52","GC09P097853","86.6588592529297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXE1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","85.7457733154297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","60","GC03P024217","85.6263198852539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","85.3321762084961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"THRA","Thyroid Hormone Receptor Alpha","Protein Coding","P10827","61","GC17P040058","82.9768600463867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRA"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","59","GC02M214725","80.1954193115234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"PTCH1","Patched 1","Protein Coding","Q13635","63","GC09M095442","79.5680541992188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","P04629","62","GC01P156815","79.4905014038086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"CDC73","Cell Division Cycle 73","Protein Coding","Q6P1J9","58","GC01P193121","79.0566864013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","33","GC11P098972","78.0921173095703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"DUOX2","Dual Oxidase 2","Protein Coding","Q9NRD8","55","GC15M045092","76.6825714111328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOX2"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","Q8IYG6","47","GC11P014008","74.6375122070313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","42","GC11M108308","73.1659774780273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","66","GC18P051028","71.8925933837891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"FLCN","Folliculin","Protein Coding","Q8NFG4","54","GC17M017212","71.6005859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"PVT1","Pvt1 Oncogene","RNA Gene","","34","GC08P128246","71.5888671875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"TSHB","Thyroid Stimulating Hormone Subunit Beta","Protein Coding","P01222","54","GC01P115029","70.9393539428711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB"
"CCND1","Cyclin D1","Protein Coding","P24385","66","GC11P069641","70.2230453491211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","70.1998901367188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","69.8224792480469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","31","GC12M053962","68.9158172607422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","61","GC14M095086","68.2538375854492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"MEN1","Menin 1","Protein Coding","O00255","58","GC11M064803","67.7666778564453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"GAS5","Growth Arrest Specific 5","RNA Gene","","32","GC01M173947","67.5012512207031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"MEG3","Maternally Expressed 3","RNA Gene","","36","GC14P119042","67.3400268554688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"MIR146B","MicroRNA 146b","RNA Gene","","30","GC10P102436","66.6270141601563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","63","GC19P001177","66.3386688232422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","65.4270858764648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","61","GC02P047345","64.3297576904297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","64","GC02M029190","64.1489410400391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","29","GC06P008703","63.6802368164063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"MIR221","MicroRNA 221","RNA Gene","","30","GC0XM045746","63.5696563720703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","63.067684173584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","61","GC12P047017","63.0365371704102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
